iso	michael	ours
eri	7953	7958
nii	7942	7957
crq	7841	0
knf	9486	7957
qxr	7840	5058
lnd	0	30532
lcp	0	5059
cwe	7950	7956
aah	0	7904
hnn	7951	7946
ton	0	31102
mor	7953	7957
tos	7951	7911
abt	7953	7959
mfz	7953	7884
kru	0	7957
nor	0	7958
urk	7937	7922
pma	7915	7959
agx	1146	1151
qvh	7953	7455
pam	7953	7958
ces	31171	31172
cap	7953	7958
nus	7953	0
gjn	7953	5059
hay	7953	0
zia	7953	7959
mco	7953	7950
rup	0	1151
kir	31168	0
njo	7953	5059
sck	0	7959
ivb	7953	5059
ivv	7952	5058
alj	7936	7923
kew	9443	9448
mlg	0	31091
fij	31153	7957
sri	7952	7957
gux	7953	7950
jav	31167	7959
mmx	10481	10420
kvg	0	8075
bdq	0	5059
prs	7953	5057
ncq	0	5059
sgb	7953	7941
adi	7939	5053
btx	7908	7954
kyq	7949	7958
mcu	7953	7937
kan	7937	7958
ter	7953	7958
kde	7953	5059
sin	31168	5058
ctu	7953	28203
suk	7953	7953
ksr	9613	9624
bxh	4277	4281
sdm	0	7751
aer	0	5059
moa	0	7956
dip	7953	0
est	31147	5028
bzj	7768	7953
myk	7953	7958
gnn	15780	5059
gdg	7951	5058
smo	31152	7941
amx	2032	0
acu	7953	7934
biv	7938	7942
agd	7938	7959
yuj	7952	7959
bao	7953	8010
nse	0	5059
war	7951	7957
npy	7953	7797
hne	7953	7959
alt	7952	7950
gid	7953	5058
apt	7947	5056
dru	0	5051
ker	0	7956
mbc	7953	7959
nmz	7953	7951
tpm	31165	30835
moh	874	879
sna	31152	5059
