	FCBH/DBS	ISO	Language	Year	description	exist_API	exist_BibleIS
784	ACNBSM	acn	Achang	2004	Achang 2004 Edition	True	True
785	ACNCLB	acn	Achang	2010	Ngochang Common Language Bible	False	False
786	ACRAEM	acr	Rabinal Achí	2016	AECM Version	False	False
787	ACRCBL	acr	Rabinal Achí	2009	Achi Cubulco 2009 Edition	False	False
788	ACRNNT	acr	Rabinal Achí	2009	Achi Rabinal 2009 Edition (New Alphabet)	False	False
789	ACRTNT	acr	Rabinal Achí	2009	Achi Rabinal 2009 Edition (Traditional)	False	False
790	ACCIBS	acc	Cubulco Achí	1992	Today's Achi Version	True	True
791	ACCNNT	acc	Cubulco Achí	2009	New Testament in Achi Rabinal	False	False
792	ACEIBS	ace	Aceh	1997	Achinese 1997 Today's Aceh Version	False	False
793	ACUTBL	acu	Achuar-Shiwiar	1994	Achuar-Shiwiar 1994 Edition	True	True
794	GUQLPY	guq	Aché	2007	Ache LETRA Version	True	True
795	ACHBSU	ach	Acholi	1985	Acoli 1985 Edition	True	True
796	FUBBSN	fub	Adamawa Fulfulde	1963	The New Testament in Adamawa Fulfulde (Nigeria)	True	True
797	FUBFDC	fub	Adamawa Fulfulde	2013	Fulfulde DC Bible (Cameroon)	False	False
798	FUBFUB	fub	Adamawa Fulfulde	1995	1995 Edition (Cameroon)	False	False
799	ADADFB	ada	Dangme	2008	The Bible in the Dangme language	False	False
800	ADADNT	ada	Dangme	1977	The New Testament in Dangme	False	False
801	ADAGOJ	ada	Dangme	1977	The Gospel of John in Dangme	False	False
802	ADETBL	ade	Adele	1996	Adele 1996 Edition	True	True
803	ADHBSU	adh	Adhola	2002	Adhola 2002 Edition	True	True
804	ADIBSI	adi	Adi	1932	The Bible in Adi	False	False
805	ADJWBT	adj	Adioukrou	1998	Adioukrou 1998 Edition	True	True
806	GASFBI	gas	Adiwasi Garasia	2017	Garasia Adiwasi Bible	False	False
807	ADYIBT	ady	Adyghe	2005	Adyghe Portions	False	False
808	ADYNTA	ady	Adyghe	1992	New Testament in Adygei	False	False
809	ADZAMV	adz	Adzera	2009	Genesis in Adzera	False	False
810	AWIOTS	awi	Aekyom	1975	Old Testament Selections in Aekyom	False	False
811	AARA94	aar	Afar	1994	Afar New Testament	False	False
812	AFRABY	afr	Afrikaans	1953	1953 Afrikaans Bible	False	False
813	AFRASV	afr	Afrikaans	2014	Afrikaans Standard Version	False	False
814	AFRBVA	afr	Afrikaans	2008	The Bible for All	False	False
815	AFRCDM	afr	Afrikaans	2002	The Bible for Children	False	False
816	AFRDBP	afr	Afrikaans	2002	The Message	False	False
817	AFRDLB	afr	Afrikaans	1983	1983 Afrikaans Bible	False	False
818	AFRNDT	afr	Afrikaans	2014	New Direct Translation	False	False
819	AFRNLV	afr	Afrikaans	2006	New Living Translation	False	False
820	AFRNVV	afr	Afrikaans		The Bible: New Translation	False	False
821	AGDPNG	agd	Agarabi		2010 Edition	True	True
822	AGDWBT	agd	Agarabi	2010	The New Testament in Agarabi	False	False
823	AGXIBT	agx	Aghul	2005	Aghul Luke	False	False
824	AGLLKIBT	agx	Aghul	2005	Gospel of Luke in Agul	False	False
825	AGUAEM	agu	Aguacateco	2016	Portions of the Bible in Aguacateco	False	False
826	AGUNVS	agu	Aguacateco	2011	Aguacateco 1993 Edition	True	True
827	AGRTBL	agr	Aguaruna	2005	Aguaruna 2005 Edition	True	True
828	MSMWPS	msm	Agusan Manobo	1999	Agusan Manobo 1999 Edition	True	True
829	AGNWPS	agn	Agutaynen	2004	The New Agreement Agutaynen Bible	True	True
830	AHAANT	aha	Ahanta	2009	The New Testament in Ahanta	False	False
831	AHRFBI	ahr	Ahirani	2017	Ahirani Bible	False	False
832	AIMNEW	aim	Aimol	2016	The Revised Aimol Version	False	False
833	AINB97	ain	Ainu	1897	Batchelor 1897	False	False
834	AJIAJI	aji	Ajië	2014	The New Testament in Ajië	False	False
835	CPCWBT	cpc	Ajyíninka Apurucayali	2000	Ajyíninka Apurucayali New Testament	False	False
836	AKAAKA	aka	Akan	2000	Akuapem Twi New Testament	False	False
837	AKABAR	aka	Akan	1855	Dr Barth's Bible Stories in Akuapem Twi	False	False
838	AKANTB	aka	Akan		Asante New Testament	False	False
839	AKATWI	aka	Akan	2008	Twi Akuapem Bible	False	False
840	TWINTP	aka	Akan	1964	New Testament and Psalms in Twi	False	False
841	TWITWI	aka	Akan	2015	Asante Twi Bible Revision Bible	False	False
842	AKABSG	aka	Akan	2012	The New Testament in Akuapem	False	False
843	AKAUBS	aka	Akan	1964	ASANTE: 1964 New Testament	False	False
844	AKAFAN	aka	Akan	1982	The New Testament in Fante	False	False
845	AKEBSS	ake	Akawaio	2010	Akawaio 2010 Edition	True	True
846	TSRTSR	tsr	Akei		Portions of the Bible in Akei	False	False
847	AEUWBT	aeu	Akeu		WBT Version	True	True
848	AEUBSMN	aeu	Akeu	2015	Akeu New Testament	False	False
849	AHKTBS	ahk	Akha	2001	Akha 2001 Edition	True	True
850	AKLAKL	akl	Aklanon		The Bible in Aklanon	False	False
851	BSSWBT	bss	Akoose	2011	Akoose 2011 Edition	True	True
852	SPMPBT	spm	Sepen	2010	Mark and Acts in Akukem	False	False
853	ALWDPI	alw	Alaba	2015	The Word for the World Edition	True	True
854	MIMTBN	mim	Alacatlatzala Mixtec	2010	New Testament in Mixtec, Alacatlatzala	False	False
855	AMPSTY	amp	Alamblak	2018	Angika Storying	False	False
856	AMPWBT	amp	Alamblak	2004	The New Testament in Alamblak	False	False
857	ALJOMF	alj	Alangan	1989	Alangan 1989 Edition	True	True
858	SQIAINT	sqi	Albanian	2007	Albanian Interconfessional New Testament	False	False
859	XTATNB	xta	Alcozauca Mixtec	2005	New Testament in Mixtec, Alcozauca	False	False
860	GAHPNG	gah	Alekano	2013	The New Testament in Alekano	True	True
861	ALEGSA	ale	Aleut	1902	The Gospels and Acts in Eastern Aleut	False	False
862	ALEMAT	ale	Aleut	1840	The Gospel of Matthew in Eastern Aleut	False	False
863	ALEMLJ	ale	Aleut	1861	Mark, Luke and John in Atkan Aleut	False	False
864	ARQANT	arq	Algerian Spoken Arabic	1965	Algerian Arabic New Testament	False	False
865	ALQKNP	alq	Algonquin	1844	Matthew and Acts in Putawatomie	False	False
866	ALQWBT	alq	Algonquin	1998	Algonquin New Testament	False	False
867	ALDABC	ald	Alladian	2003	The New Testament in Alladian	True	True
868	ZAQTBL	zaq	Aloápam Zapotec	2005	The Gospel of John in Zapoteco de Aloapam	False	False
869	ALPWBT	alp	Alune	2012	The New Testament in Alune	True	True
870	ALZBSU	alz	Alur	1970	Alur 1970 Edition	True	True
871	ALYNSW	aly	Alyawarr	2010	The Good News in Alyawarr	False	False
872	AMMWBT	amm	Ama	2009	The New Testament in Ama	True	True
873	AMCGEN	amc	Amahuaca	1992	Portions of Genesis in Amahuaca	False	False
874	AMNNAI	amn	Amanab	2011	Naineri Amanab New Testament	False	False
875	AMNPNG	amn	Amanab		2001 Edition	True	True
876	AMNWBT	amn	Amanab	2001	The New Testament in Amanab	False	False
877	AMRTBL	amr	Amarakaeri		2008 Edition	True	True
878	AMRWBT	amr	Amarakaeri	2008	The New Testament in Amarakaeri	False	False
879	AAZANT	aaz	Amarasi	2014	New Testament in Amarasi	False	False
880	AAZEPC	aaz	Amarasi		WBT Version	False	False
881	ZPOTBL	zpo	Amatlán Zapotec	2002	The New Testament in Amatlan Zapotec	True	True
882	AMKWBT	amk	Ambai	2010	The New Testament in Ambai	True	True
883	QVAWBT	qva	Ambo-Pasco Quechua	2017	Ambo-Pasco Quechua New Testament	True	True
884	ABSNTP	abs	Ambonese Malay	2015	New Testament Portions	False	False
885	ABTWBT	abt	Ambulas	1983	Maprik Ambulas New Testament	False	False
886	ABTWWT	abt	Ambulas	1996	Wosera New Testament	False	False
887	ABTAMV	abt	Ambulas		1983 Edition	True	True
888	ABTAWV	abt	Ambulas		1996 Edition	False	False
889	ADXTOV	adx	Amdo Tibetan	2004	Tibetan Old Version Bible	False	False
890	AEYWBT	aey	Amele	1997	The New Testament in Amele	False	False
891	ASESLV	ase	American Sign Language	2004	American Sign Language Bible	True	True
892	IFAWBT	ifa	Amganad Ifugao	2014	Ifugao, Amganad Bible	True	True
893	AMHEVG	amh	Amharic		1962 Edition	True	True
894	AMHIBS	amh	Amharic	2001	IBS Version	False	False
895	AMHN74	amh	Amharic	1874	The New Testament in Amharic	False	False
896	AMHNHS	amh	Amharic	1962	New Haile Selassie I Bible	False	False
897	AMHNIV	amh	Amharic	2001	New Amharic Standard Version	False	False
898	AMHORT	amh	Amharic	2012	Amharic Orthodox Bible	False	False
899	AMHSDV	amh	Amharic	2007	Amharic 2007 Edition	True	True
900	AMHUBS	amh	Amharic	2005	UBS Versions	False	False
901	AMHACLB	amh	Amharic	1980	Amharic Common Language Bible	False	False
902	AMINEW	ami	Amis	2016	West Ambae New Testament	False	False
903	MBZWBT	mbz	Amoltepec Mixtec	2010	New Testament Portions in Mixtec, Amoltepec	False	False
904	AJZNEW	ajz	Amri	2016	Amri Karbi New Testament	False	False
905	AMTGEN	amt	Amto	1992	Portions of the Bible in Amto	False	False
906	ANMITB	anm	Anal	2008	Namfau Bible	False	False
907	ANALBSI	anm	Anal	2006	Anal (Pakan) Naga CL Bible - BSI	False	False
908	GRCGAE	grc	Ancient Greek	1993	New Testament in Greek and English	False	False
909	GRCHBS	grc	Ancient Greek	2003	HBS Greek New Testament	False	False
910	GRCHEX	grc	Ancient Greek	1906	Hexaglot Bible	False	False
911	GRCS94	grc	Ancient Greek	1894	Scrivener New Testament	False	False
912	GRCSBL	grc	Ancient Greek	2010	SBL Greek New Testament	False	False
913	GRCSRE	grc	Ancient Greek	1550	Stephanus Robert Estienne Translation	False	False
914	GRCTRE	grc	Ancient Greek	1624	Textus Receptus Elzevir (1624)	False	False
915	GRCTXR	grc	Ancient Greek	1894	Textus Receptus (1550/1894)	False	False
916	GRCWHN	grc	Ancient Greek	1881	Westcott-Hort New Testament	False	False
917	GRCNA28	grc	Ancient Greek	1514	Nestle-Aland New Testament	False	False
918	HBOMAS	hbo	Ancient Hebrew	1000	Hebrew Masoretic Old Testament	False	False
919	ANILKIBT	ani	Andi	2015	Gospel of Luke in Andi	False	False
920	ATYPSA	aty	Aneityum		The Book of Psalms in Aty Aneityum	False	False
921	ABYN88	aby	Aneme Wake	1988	Aneme Wake 1988 Edition	False	False
922	ABYWBT	aby	Aneme Wake	2012	The New Testament in Aneme Wake	True	True
923	AGMSIL	agm	Angaatiha	1977	Angaataha 1977 Edition	False	False
924	AGMWBT	agm	Angaatiha	2004	Angaataha 2004 Edition	True	True
925	AGEMNT	age	Angal	1967	Mendi New Testament	False	False
926	AKHBSP	akh	Angal Heneng	1978	Angal Heneng 1978 Edition	True	True
927	NJMCLB	njm	Angami Naga	1970	Angami Common Language Bible	False	False
928	YLILAI	yli	Angguruk Yali	1998	Today's Yali Angguruk Version, 1998	True	True
929	RMEGNR	rme	Angloromani	1981	Good News in Romany	False	False
930	RMERME	rme	Angloromani	1874	Romany Scripture Compositions by Wester Boswell 1874	False	False
931	AGGPNG	agg	Angor	2001	Angor 2001 Edition	True	True
932	AOIBSA	aoi	Anindilyakwa	1992	Portions of the Bible in Anindilyakwa	False	False
933	BOJWBT	boj	Anjam	2014	Anjam New Testament, 2014 revision	True	True
934	BOJYAA	boj	Anjam	2000	The New Testament in Anjam	False	False
935	AAKWBT	aak	Ankave	1990	Ankave 1990 Edition	True	True
936	AMXNEW	amx	Anmatyerre	2016	Anmatyerr Mini-Bible	False	False
937	AIGWBT	aig	Antigua and Barbuda Creole English	2006	Portions of the Bible in Antigua and Barbuda Creole English	False	False
938	ANUBSE	anu	Anuak	2012	The Bible in Anuak	False	False
939	CKOGIL	cko	Anufo	2006	Anufo 2006 Edition	True	True
940	AUIWBT	aui	Anuki	2010	Bible Portions in Anuki	False	False
941	ANYWBT	any	Anyin	1997	1997 Edition	True	True
942	NJOANB	njo	Ao Naga	2004	Ao Naga Bible	False	False
943	NJOCLV	njo	Ao Naga	2018	Common Language Version	False	False
944	APYWBT	apy	Apalaí	1986	The New Testament in Apalai	False	False
945	ENAPBT	ena	Apali	2014	Portions of the Bible in Apal	False	False
946	MIPUTI	mip	Apasco-Apoala Mixtec		2016 Edition	True	True
947	APTNEW	apt	Apatani	2016	Apatani New Testament CL	False	False
948	APNWBT	apn	Apinayé	1999	The New Testament in Apinaye	False	False
949	APUTSA	apu	Apurinã	2004	The New Testament in Apurina	False	False
950	ARLTBL	arl	Arabela		2008 Edition	True	True
951	ARLWBT	arl	Arabela	2008	The New Testament in Arabela	False	False
952	ATQLAI	atq	Aralle-Tabulahan	2004	Aralle-Tabulahan 2004 Edition	True	True
953	AROGEN	aro	Araona		Portions of the Bible in Araona	False	False
954	ARPLUK	arp	Arapaho	1903	Gospel of Luke	False	False
955	ARPMLK	arp	Arapaho	2011	Gospel of Luke Modern Orthography	False	False
956	ARWACT	arw	Arawak	1850	The Acts of the Apostles in Arawak	False	False
957	MWCH25	mwc	Are	1925	The Holy Bible in Mukawa	False	False
958	MWCWBT	mwc	Are	2011	The Gospel of Luke in Are	False	False
959	AAIWBT	aai	Arifama-Miniafia	2009	Arifama-Miniafia 2009 Edition	True	True
960	LUCHLA	luc	Aringa	2013	The New Testament in Aringa	True	True
961	HYEART	hye	Armenian	1994	Ararat translation	False	False
962	HYEE10	hye	Armenian	2010		False	False
963	HYEGEN	hye	Armenian	1929	Portions of the Bible in Eastern Armenian	False	False
964	HYEL17	hye	Armenian	2017		False	False
965	HYEMWA	hye	Armenian	1981	Armenian Modern Western Bible	False	False
966	HYEWAP	hye	Armenian	2003	2003 Western Armenian New Testament	False	False
967	HYEZOH	hye	Armenian	1805	Armenian Zohrab New Testament	False	False
968	HYEWANT	hye	Armenian	1853	Armenian Church of the Nazarene Edition	False	False
969	RUPVAM	rup	Macedo Romanian	1889	Aromanian Gospel of Matthew	False	False
970	APRWBT	apr	Arop-Lukep	2013	The New Testament in the Arop dialect of the Arop-Lokep language of Papua New Guinea	True	True
971	APSWBT	aps	Arop-Sissano		Portions of the Bible in Arop-Sissano	False	False
972	AIAWBT	aia	Arosi	2004	Arosi 2004 Edition	False	False
973	MSYPNG	msy	Aruamu	2004	Aruamu 2004 Edition	True	True
974	CNIWBT	cni	Asháninka	2006	Asháninka 2006 Edition	True	True
975	CJOWBT	cjo	Ashéninka Pajonal	2008	The New Testament in Ashéninka Pajonal	True	True
976	ASMANT	asm	Assamese	1954	Assamese New Testament	False	False
977	ASMAOT	asm	Assamese	1903	The Old Testament in Assamese	False	False
978	ASMATJ	asm	Assamese	1848	Assamese New Testament	False	False
979	ASMOAB	asm	Assamese	2016	Assamese Bible	False	False
980	ASMSER	asm	Assamese	1832	The Serampore Assamese Bible	False	False
981	AIIANT	aii	Assyrian Neo-Aramaic		Bible Portions in Assyrian	False	False
982	AIIWBT	aii	Assyrian Neo-Aramaic	2014	New Testament in Assyrian Neo-Aramaic	False	False
983	AIIAPNT	aii	Assyrian Neo-Aramaic		Aramaic Peshitta New Testament	False	False
984	ASABST	asa	Asu	2018	1967 Edition	False	False
985	ASACNT	asa	Asu	1967	Chasu New Testament	False	False
986	ATDWBT	atd	Ata Manobo	2000	New Testament in Manobo, Ata	False	False
987	MIBTBL	mib	Atatláhuca Mixtec		1973 Edition	True	True
988	MIBWBT	mib	Atatláhuca Mixtec	1973	The New Testament of Mixtec, Atatláhuca	False	False
989	TAYTKN	tay	Atayal	1974	Tayal-Kuoya New Testament	False	False
990	ATJANT	atj	Atikamekw	2014	Atikamekw New Testament	False	False
991	AVTWBT	avt	Au	1992	Au 1992 Edition	True	True
992	ASFAMB	asf	Australian Sign Language	1999	Auslan Mini-Bible	False	False
993	AVAANT	ava	Avar	2008	Avar New Testament	False	False
994	AVAIBT	ava	Avar		2008 Edition	True	True
995	AVNWBT	avn	Avatime		WBT Version	True	True
996	AVUWBT	avu	Avokaya	2002	Avokaya 2002 Edition	True	True
997	AWBTBL	awb	Awa	2002	Awa 2002 Edition	True	True
998	KWIWBT	kwi	Awa-Cuaiquer	2002	Awa-Cuaiquer 2002 Edition	True	True
999	AWAIBS	awa	Awadhi	2006	New India Bible Version	True	True
1000	AWAWTC	awa	Awadhi	2006	Awadhi Easy-to-Read Version	True	True
1001	AWXWBT	awx	Awara	2011	Genesis, Ruth, and Jonah in Awara	False	False
1002	AUYWBT	auy	Awiyaana	1984	The New Testament in Awiyaana	True	True
1003	AWNDPI	awn	Awngi	2015	The Word for the World Edition	True	True
1004	AHBBFBS	ahb	Axamb	1935	The Gospel of John in Axamb	False	False
1005	QUYPBS	quy	Ayacucho Quechua	1987	Ayacucho Quechua 1987 Edition	True	True
1006	QUYSBU	quy	Ayacucho Quechua		1987 Edition	True	True
1007	VMYTBL	vmy	Ayautla Mazatec	2009	Ayautla Mazatec 2009 Edition	True	True
1008	AYMBSB	aym	Aymara		2011 Edition	True	True
1009	AYMSBU	aym	Aymara		1997 Edition	True	True
1010	AYONTM	ayo	Ayoreo	1982	Ayoreo 1982 Edition	True	True
1011	MIYWYI	miy	Ayutla Mixtec	2015	The New Testament in Ayutla Mixtec	True	True
1012	AZEBSA	aze	Azerbaijani	2009	The Bible in Azerbaijani	True	True
1013	AZECHL	aze	Azerbaijani	1995	Azerbaijani Children's Bible	False	False
1014	AZAATT	aza	Azha	2014	Portions of the Azha Bible	False	False
1015	BBABSB	bba	Baatonum	1996	Baatonum 1996 Edition	True	True
1016	MBFULL	mbf	Baba Malay	2007	Malay, Baba	False	False
1017	BAAGEN	baa	Babatana	1998	Portions of the Bible in Babatana	False	False
1018	BCRBMK	bcr	Babine	1978	The Gospel of Mark in Babine	False	False
1019	BHZLAI	bhz	Bada	2017	2017 Edition	True	True
1020	BFQGOS	bfq	Badaga	1890	The Gospels in Badaga	False	False
1021	BFQTBN	bfq	Badaga	2005	New Testament in Badaga	False	False
1022	BVDWBT	bvd	Baeggu	2016	Baeggu New Testament (Wycliffe)	False	False
1023	BVCWBT	bvc	Baelelea	2014	The New Testament in Baelelea	True	True
1024	KSFWBT	ksf	Bafia	1996	Bafia New Testament	False	False
1025	BFDWBT	bfd	Bafut	1999	Bafut 1999 Edition	True	True
1026	BSPPBT	bsp	Baga Sitemu	2015	God's Holy Book	False	False
1027	BFYWBT	bfy	Bagheli	2015	Portions of the Bible in Bagheli	False	False
1028	BGQWBT	bgq	Bagri	2015	Portions of the Bible in Bagri	False	False
1029	BDQDVS	bdq	Bahnar	1971	The New Testament in Bahnar	True	True
1030	BKXWBT	bkx	Baikeno	2004	Baikeno Gospel of Mark	False	False
1031	BDHWBT	bdh	Baka	2017	2017 Edition	True	True
1032	BKQWBT	bkq	Bakairí	2011	The New Testament in Bakairi	False	False
1033	BLWWBT	blw	Balangao	1982	The New Testament in Balangao	False	False
1034	BLEWBT	ble	Balanta-Kentohe	1978	Gospel of Luke	False	False
1035	BLZLAI	blz	Balantak	2010	Balantak 2010 Edition	True	True
1036	BANIBS	ban	Bali	1990	Balinese Today's Balinese Version, 1990	True	True
1037	RMNRMN	rmn	Balkan Romani	1995	Romani Bible Portions	False	False
1038	RMLGBV	rml	Baltic Romani	1999	Baltic Romany Lithuanian Gospel of Matthew	False	False
1039	RMLNEW	rml	Baltic Romani		Romani: Balt Slavic	False	False
1040	PTULAI	ptu	Bambam	2004	Bambam 2004 Edition	True	True
1041	BAMLSB	bam	Bamanankan	1996	La Sainte Bible in Bambara	True	True
1042	BAMLUK	bam	Bamanankan	1923	The Gospel of Luke in Bambara	False	False
1043	BAXFUL	bax	Bamun	1988	Bamun New Testament	False	False
1044	BCWWBT	bcw	Bana	2005	The Bible in Bana	True	True
1045	BZABBS	bza	Bandi	2011	Bandi Bible Stories	False	False
1046	BZABSL	bza	Bandi	1998	Bandi New Testament	True	True
1047	BQJATB	bqj	Bandial	2015	The Bible in Bandial	True	True
1048	BXGBFB	bxg	Bangala	2001	The Bible in Bangala	False	False
1049	BXGBOT	bxg	Bangala	1953	The Old Testament in Bangala	False	False
1050	BXGDRC	bxg	Bangala	1991	The New Testament in Bangala	True	True
1051	BGZBNT	bgz	Banggai	1993	The New Testament in Banggai	False	False
1052	BGZGOS	bgz	Banggai		The Gospels in Banggai	False	False
1053	BGZLAI	bgz	Banggai	2002	2002 Edition	True	True
1054	BNINEW	bni	Bangi	1947	Bangi Bble	False	False
1055	BNOWBT	bno	Bantoanon	2017	The Bantoanon Bible	True	True
1056	BCIUBS	bci	Baoulé	1979	The UBS Baoulé New Testament	True	True
1057	BBBWBT	bbb	Barai	2013	The New Testament in Barai	True	True
1058	BSNTBL	bsn	Barasana	2001	Barasana-Eduria 2001 Edition	True	True
1059	MLPTBL	mlp	Bargam	2002	Bargam 2002 Edition	True	True
1060	BFABSS	bfa	Bari	1979	The New Testament in Bari	True	True
1061	BCHWBT	bch	Bariai	2012	Bariai WBT Edition	True	True
1062	BYRWAG	byr	Baruya	2011	Scripture Portions in Wagamwa Yipma	False	False
1063	BYRWBT	byr	Baruya	1994	Baruya 1994 Edition	True	True
1064	BASBBS	bas	Basaa	2011	Basaa Bible Stories	False	False
1065	BZWFUL	bzw	Basa	2008	2008 Edition	False	False
1066	BAKBNT	bak	Bashkir	2000	The New Testament in Bashkir	False	False
1067	BAKIBT	bak	Bashkir	2015	The New Testament in Bashkir	True	True
1068	BAKJHN	bak	Bashkir		The Gospel of John in Bashkir	False	False
1069	BSTNEW	bst	Basketo	2014	Basketo New Testament	False	False
1070	EUSBSS	eus	Basque	2008	The Bible in Euskara	False	False
1071	EUSNLT	eus	Basque	1571	Elizen Arteko Biblia	True	True
1072	BSQLBS	bsq	Bassa	1969	Bassa 2002 Edition	True	True
1073	BSCWBT	bsc	Bassari	2016	The New Testament in Oniyan	True	True
1074	IFBTBL	ifb	Batad Ifugao	2010	Batad Ifugao 2010 Edition	True	True
1075	AKBLAI	akb	Batak Angkola	1991	Batak Angkola 1991 Edition	True	True
1076	BTDLAI	btd	Batak Dairi	1998	Today's Batak Dairi Version	True	True
1077	BTXLAI	btx	Batak Karo	1987	Batak Karo Today's Version, 1987	True	True
1078	BTSLAI	bts	Batak Simalungun	1976	Batak Simalungun Formal Version 1976	True	True
1079	BBCGOS	bbc	Batak Toba		The Gospels in Batak Toba	False	False
1080	BBCWBT	bbc	Batak Toba	1998	The Batak Toba Bible	False	False
1081	BGEBBS	bge	Bauria	2015	Bauria Bible Stories	False	False
1082	BVZYSS	bvz	Bauzi	2008	Bauzi 2008 Edition	True	True
1083	BGRBBS	bgr	Bawm Chin	2006	Bawm Chin 2006 Edition	True	True
1084	BGRBFB	bgr	Bawm Chin	1989	The Holy Bible in Bawm	False	False
1085	BDAWBT	bda	Bayot	2010	Gospel of Luke	False	False
1086	BEOBFB	beo	Beami	2001	The Bible in Beami	False	False
1087	BEOBNT	beo	Beami	1991	The New Testament in Beami	False	False
1088	BEAOOT	bea	Beaver	1886	The Gospel of Mark in Beaver	False	False
1089	BJVWYI	bjv	Bedjond	2011	Bedjond 2011 Edition	True	True
1090	BEQMWV	beq	Beembe	2012	Kibeembe New Testament	False	False
1091	BKVWYI	bkv	Bekwarra	1983	Bekwarra 1983 Edition	True	True
1092	BELB03	bel	Belarusan	2003	Belarusian Bible (2003)	False	False
1093	BELGNT	bel	Belarusan	1976	Good News New Testament Modern Translation	False	False
1094	BELJFC	bel	Belarusan	1973	JFC Version	True	True
1095	BZJBSW	bzj	Belize Kriol English	2012	Belize Kriol English 2012 Edition	True	True
1096	BEMBSZ	bem	Bemba	2014	The Revised Bemba Bible	False	False
1097	BEMUBS	bem	Bemba	1956	The Bemba 1956 Bible	True	True
1098	BMBABC	bmb	Bembe	2013	Bembe 2013 Bible	False	False
1099	BMBFUL	bmb	Bembe	1991	Bembe Bible	False	False
1100	BEFSIL	bef	Benabena	1969	Portions of the Bible in Bena-Bena	False	False
1101	BEFWBT	bef	Benabena	1982	Benabena 1982 Edition	True	True
1102	BCQBEN	bcq	Bench	1990	Bench New Testament	False	False
1103	BNGGEN	bng	Benga	1863	The book of Genesis in Benga	False	False
1104	BNGMAT	bng	Benga	1881	The Gospel of Matthew in Benga	False	False
1105	BENBBS	ben	Bengali	1875	Bengali Mussolmani Version	False	False
1106	BENCLV	ben	Bengali	2000	Bengali Common Language	False	False
1107	BENJHN	ben	Bengali		The Gospel of John in Bengali	False	False
1108	BENNTR	ben	Bengali	1839	The New Testament in Bengali (Romanized)	False	False
1109	BENOBB	ben	Bengali	2016	Bengali Bible	False	False
1110	BENRBV	ben	Bengali	2008	Bengali Re-edit Bangla Version	False	False
1111	BENTBN	ben	Bengali	2005	New Testament in Bengali	False	False
1112	BENWTC	ben	Bengali	2006	Bengali Easy-to-Read Version	False	False
1113	BENWYC	ben	Bengali	1909	The Holy Bible In Bengali	False	False
1114	BNGOVV	ben	Bengali	2018	OVV Version	False	False
1115	BENCJUB	ben	Bengali	2000	Jubilee Bible	False	False
1116	BENRMRK	ben	Bengali	1882	Gospel of Mark in Romanized Bengali	False	False
1117	BKLLAI	bkl	Berik	1993	Berik 1993 Edition	True	True
1118	BEPLAI	bep	Besoa	2018	2015 Edition	True	True
1119	BTTPDT	btt	Bete-Bendi	1982	1982 Edition Drama	True	True
1120	KAPIBT	kap	Bezhta	2005	Portions of the Bible in Bezhta	False	False
1121	BHDOBB	bhd	Bhadrawahi	2017	Bhadrawahi Bible	False	False
1122	BGWFBI	bgw	Bhatri	2017	Bhatri New Testament	False	False
1123	BHBBNT	bhb	Bhili	1930	New Testament in Dehwali Bhili	False	False
1124	BHOOVV	bho	Bhojpuri	1998	The Old Version	False	False
1125	BHOROV	bho	Bhojpuri	2007	The Revised Old Version	False	False
1126	BHOSTY	bho	Bhojpuri	2018	Bhojpuri Storying	False	False
1127	BHWLAI	bhw	Biak	1990	The Biak New Testament	True	True
1128	BHWPBD	bhw	Biak	1933	Portions of the Old Testament in Biak	False	False
1129	BEHWBT	beh	Biali	2018	Biali WBT Edition	True	True
1130	BIGWBT	big	Biangai	1985	Biangai 2013 Edition	True	True
1131	BTHBSM	bth	Biatah	2003	Biatuh Bidayuh New Testament	False	False
1132	BIUFUL	biu	Biete	2016	Biate Bible Revision	False	False
1133	KFSOBB	kfs	Bilaspuri	2017	Bilsapuri Bible	False	False
1134	BPZROT	bpz	Bilba	1895	Gospel of Luke in Rote	False	False
1135	BLBNEW	blb	Bilua	1995	Bilua New Testament	False	False
1136	BHLPNG	bhl	Bimin	2008	Bimin New Testament	True	True
1137	BIMWBT	bim	Bimoba	2001	Bimoba 2001 Edition	True	True
1138	BHGBHG	bhg	Binandere	2014	Portions in Binandere	False	False
1139	BONPNG	bon	Bine	1993	Bine 1993 Edition	True	True
1140	BINBSN	bin	Edo	1996	New Testament in Edo	False	False
1141	BKDWBT	bkd	Binukid	1986	The New Testament in Binukid	True	True
1142	BJRWBT	bjr	Binumarien	1983	Binumarien 1983 Edition	True	True
1143	BISBSP	bis	Bislama	2012	Bislama BSSP Version	True	True
1144	BIRGEN	bir	Bisorio	1982	Portions of the Bible in Bisorio	False	False
1145	BIBWBT	bib	Bissa	2000	Bissa 2000 Edition	True	True
1146	BZIWBT	bzi	Bisu	2014	The New Testament in Bisu	False	False
1147	BEUWBT	beu	Blagar	2016	Scripture Portions in Blagar Pura	False	False
1148	BGLNTM	bgl	Bo	2004	Bugkalot (Ilongot) New Testament	False	False
1149	MUXTBL	mux	Mbo-Ung	2004	Mara Gomu Bo-Ung New Testament	False	False
1150	MUXWBT	mux	Mbo-Ung		2004 Edition	True	True
1151	BRXBSI	brx	Bodo	2018	Common Language Version	False	False
1152	BQCIBV	bqc	Boko	2017	Boko (Benin) 2017 Edition	False	False
