ISO	NAM_LABEL	LMP_LON	LMP_LAT	GENEALOGY
afu	Awutu	-0.59545	5.42441	Niger-Congo, Atlantic-Congo, Volta-Congo, Kwa, Nyo, Potou-Tano, Tano, Guang, South Guang
afz	Obokuitai	137.92395	-2.88029	Lakes Plain, Tariku, East
aga	Aguano	-75.83332	-5.25	Unclassified
agb	Legbo	7.98385	6.02645	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Upper Cross, Central, East-West, Mbembe-Legbo, Legbo
agc	Agatu	7.71639	7.97915	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Akweya, Etulo-Idoma, Idoma
agd	Agarabi	145.91695	-6.20604	Trans-New Guinea, Kainantu-Goroka, Kainantu, Gadsup-Auyana-Awa
age	Angal	143.59198	-6.0127	Trans-New Guinea, Engan, Angal-Kewa
agf	Arguni	132.54182	-2.66787	Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, North Bomberai
agg	Angor	141.19901	-3.7167	Senagi
agh	Ngelima	24.87538	1.81314	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Ngombe (C.45)
agi	Agariya	82.29701	24.50242	Austro-Asiatic, Munda, North Munda, Kherwari
agj	Argobba	39.75603	10.65965	Afro-Asiatic, Semitic, South, Ethiopian, South, Transversal, Amharic-Argobba
agk	Isarog Agta	123.33243	13.65101	Austronesian, Malayo-Polynesian, Philippine, Greater Central Philippine, Central Philippine, Bikol, Coastal, Naga
agl	Fembe	142.25411	-5.71596	Trans-New Guinea, East Strickland
agm	Angaatiha	146.35192	-7.15012	Trans-New Guinea, Angan, Angaatiha
agn	Agutaynen	119.65546	10.53279	Austronesian, Malayo-Polynesian, Philippine, Kalamian
ago	Tainae	145.68228	-7.40306	Trans-New Guinea, Angan, Nuclear Angan
agp	Paranan	122.37028	17.04111	
agq	Aghem	10.08074	6.38956	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Wide Grassfields, Narrow Grassfields, Ring, West
agr	Aguaruna	-77.92179	-5.30044	Jivaroan
ags	Esimbi	9.86936	6.50094	Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Tivoid
agt	Central Cagayan Agta	121.85716	17.95709	Austronesian, Malayo-Polynesian, Philippine, Northern Luzon, Northern Cordilleran, Cagayan Valley, Ibanagic, Gaddangic
agu	Aguacateco	-91.31529	15.33066	Mayan, Yucatecan-Core Mayan, K’ichean-Mamean, Mamean, Awakateko-Ixil
